,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
13,52.95,32.03,17.77,41.29,23.22,78.44,50.56,50.2,31.45,55.28,66.86,78.31,82.77,55.72,86.92,1.96,87.49,84.94,90.03,85.85,80.55,98.2,93.43,88.37,85.21,93.27,91.35,90.96,90.92,94.82,93.7,91.18,86.64,91.73,56.2,97.42,87.35,95.85,71.78,87.3,96.6,96.49,97.45,94.33,89.19,83.79,52.4,96.49,87.6,90.3,98.53,87.68,88.99,89.74,91.24
14,94.26,60.68,66.72,76.39,16.5,66.86,84.74,58.43,94.03,89.54,2.46,93.44,90.96,94.41,15.09,91.93,86.92,89.74,99.15,66.89,94.83,91.18,93.44,97.98,96.28,91.24,99.05,84.9,95.53,90.81,93.95,42.37,84.23,96.0,91.35,91.32,81.29,85.14,92.77,93.79,93.06,88.64,96.48,95.34,82.14,94.39,95.97,92.42,94.32,96.61,87.12,88.58,91.07,93.55,94.85
15,37.85,13.84,9.74,14.02,16.18,16.25,91.06,84.49,14.73,22.27,81.21,27.03,93.82,88.74,35.99,27.39,87.48,64.5,95.31,93.05,96.7,91.65,80.68,91.57,98.69,93.94,93.65,89.29,94.47,92.25,85.73,82.99,92.65,77.63,89.8,63.28,48.82,91.99,91.45,87.76,91.45,92.52,94.01,92.97,96.04,86.11,94.15,95.06,88.18,89.09,90.39,96.74,90.53,90.57,93.28
16,72.45,68.64,7.88,7.45,21.13,85.3,83.96,90.33,84.49,50.93,90.23,90.92,87.3,81.28,93.05,47.14,89.19,88.37,34.87,89.63,87.18,96.2,82.98,56.2,82.99,84.94,79.45,91.73,91.45,76.88,84.04,92.92,98.69,92.97,96.04,98.2,94.64,93.82,94.01,92.65,93.27,95.85,91.35,94.82,81.77,92.03,89.29,94.47,95.06,89.8,91.07,93.12,95.37,92.06,91.99
17,4.36,4.82,30.96,78.9,14.23,52.95,74.99,62.61,86.82,13.61,77.27,81.52,88.19,100.0,7.67,86.4,92.33,86.19,91.9,72.18,88.64,72.92,89.27,100.0,88.71,93.44,83.9,88.96,100.0,85.42,99.15,95.34,90.07,92.58,83.8,85.14,95.53,87.04,96.28,85.35,50.15,72.78,93.79,82.5,90.36,94.83,94.7,80.23,88.04,77.55,91.77,92.42,97.98,94.71,93.09
18,3.0,40.04,76.25,23.29,16.14,67.89,88.57,64.7,88.43,33.31,55.16,47.14,80.66,91.57,92.25,93.65,82.59,82.99,88.18,93.05,93.78,91.83,94.47,98.69,84.49,94.15,91.45,92.97,92.65,89.8,81.77,86.11,93.82,92.52,96.04,93.13,96.74,95.06,91.75,91.45,93.73,95.37,92.3,90.53,93.28,92.07,92.82,96.3,91.37,90.79,92.52,89.63,89.29,91.29,92.08
19,9.94,6.24,12.81,16.4,9.25,27.37,34.0,82.99,12.44,23.83,89.19,67.45,92.25,60.34,68.62,92.13,90.92,71.73,70.99,91.57,47.14,96.2,79.45,87.3,93.05,93.27,87.18,89.63,84.49,19.52,84.04,37.03,91.35,98.2,98.69,95.85,94.82,93.82,94.47,92.65,90.03,93.65,89.29,92.97,89.8,93.78,91.83,96.74,92.52,91.45,94.15,91.45,96.3,93.73,91.99
20,15.23,18.24,56.2,67.23,17.13,75.01,73.15,79.88,46.7,88.71,90.33,91.86,80.23,85.35,54.22,90.23,83.96,93.05,51.05,79.89,21.41,91.57,82.99,72.45,84.49,89.72,88.43,92.3,92.25,92.97,89.27,92.52,94.01,98.69,89.27,92.92,93.65,96.74,94.47,92.33,93.31,93.82,96.3,92.06,92.65,83.54,91.29,93.73,96.04,91.28,95.65,81.25,95.37,95.06,91.45
21,93.79,74.8,94.39,88.71,18.45,95.65,91.08,90.64,83.25,84.8,96.38,93.31,89.72,93.12,94.64,90.21,95.88,91.47,92.03,87.89,93.94,90.99,34.73,85.58,87.35,3.25,82.19,92.01,96.14,19.42,95.57,96.57,88.5,84.72,91.79,93.3,48.99,87.88,81.09,92.59,83.93,88.43,74.94,67.23,78.48,79.31,84.02,87.49,92.92,96.48,91.17,29.57,91.47,90.33,98.42
22,89.54,13.03,0.94,17.97,12.94,94.26,84.23,46.17,54.75,13.45,93.44,66.86,78.31,87.91,84.74,2.46,77.71,91.93,94.03,66.89,87.47,91.32,87.49,86.92,90.96,86.82,90.23,85.04,89.74,91.24,83.79,94.33,90.3,85.21,90.4,83.6,93.69,87.6,83.98,93.43,92.53,71.78,86.64,88.37,88.28,75.54,86.6,90.03,94.64,83.05,84.09,95.65,92.01,91.73,92.03
23,1.22,53.78,66.32,76.08,17.26,91.0,49.61,21.09,83.71,74.96,96.7,36.3,94.2,89.96,72.56,92.61,93.94,93.65,94.47,83.21,15.35,92.8,95.31,95.95,89.8,90.21,92.9,65.45,81.77,98.69,88.74,93.7,93.82,94.74,92.33,85.43,88.59,85.73,98.2,96.74,94.67,93.27,91.18,89.29,92.65,94.15,90.03,93.73,91.99,94.01,92.92,91.29,92.06,92.97,94.74
24,54.06,13.03,19.47,18.83,14.1,5.97,86.07,27.1,56.98,35.32,97.45,96.32,27.03,88.74,44.25,96.6,96.49,97.42,84.51,96.7,98.53,96.49,67.88,85.73,95.31,87.68,85.88,88.59,93.94,87.31,85.43,94.15,93.27,78.03,83.05,90.89,95.85,98.2,93.65,96.74,94.67,91.35,94.82,94.47,98.69,68.5,88.9,92.9,95.95,90.36,90.21,93.7,91.18,81.77,92.33
25,66.32,67.77,14.14,28.83,17.6,48.99,96.6,51.04,71.41,71.35,4.12,96.49,78.03,89.89,16.76,85.43,76.72,64.29,91.35,70.82,96.49,93.94,93.7,98.2,91.77,97.42,85.73,95.85,98.69,94.7,95.31,93.27,94.82,93.65,92.33,98.53,97.45,81.77,89.8,94.38,87.68,96.7,88.59,82.9,86.04,88.74,91.18,89.29,86.31,79.1,90.89,96.32,93.82,96.74,85.57
26,92.27,60.68,68.95,96.97,18.14,94.57,96.48,93.79,82.14,82.62,94.64,93.43,86.08,91.75,86.19,93.44,95.34,100.0,82.08,24.07,99.15,92.42,96.61,82.5,60.02,90.96,93.55,95.53,96.28,100.0,42.37,80.23,88.33,73.96,63.77,84.72,88.64,87.5,82.19,87.81,94.83,94.41,83.98,95.97,98.42,94.39,90.21,91.28,99.05,94.13,92.92,91.18,84.23,91.35,83.8
27,15.36,76.08,5.82,12.05,12.2,90.39,67.08,49.61,42.43,74.96,91.07,62.9,75.91,89.29,88.01,95.85,88.99,80.55,90.61,82.9,89.19,91.35,89.78,82.9,19.75,93.7,93.12,90.18,92.73,94.47,95.65,93.38,92.7,93.65,95.06,87.35,91.29,91.79,94.15,92.52,98.2,80.66,93.78,92.25,96.04,94.64,94.82,96.42,98.69,92.97,93.27,92.03,93.82,93.05,89.8
28,60.95,93.12,28.11,12.55,15.82,95.57,95.65,82.29,92.03,95.97,96.38,96.05,94.39,94.32,78.09,3.25,4.47,95.88,91.95,82.92,90.99,90.6,94.64,96.48,19.42,75.98,93.94,88.58,92.42,92.77,84.02,92.01,87.12,98.42,88.64,82.69,75.54,92.92,91.86,96.3,94.7,99.15,85.57,79.89,85.92,90.96,99.05,93.44,42.37,97.98,91.32,94.83,90.21,94.41,91.18
29,13.35,29.2,70.05,15.31,35.99,84.98,83.44,9.76,60.87,13.5,10.59,93.05,84.04,81.74,92.43,92.09,92.7,88.55,89.13,60.21,81.84,65.74,75.36,80.68,92.97,41.08,91.73,93.78,88.01,88.06,87.57,87.35,88.99,91.4,92.52,76.46,92.7,83.91,91.29,92.42,90.79,62.34,85.57,84.38,89.27,57.08,88.6,89.78,73.98,78.56,88.05,62.81,65.74,92.8,91.45
